X,R
2.17E+00,-9.02E-01
2.18E+00,-8.77E-01
2.19E+00,-1.15E+00
2.21E+00,-1.45E+00
2.22E+00,-6.67E-01
2.23E+00,-1.20E+00
2.24E+00,-9.31E-01
2.25E+00,-7.55E-01
2.26E+00,-9.86E-01
2.27E+00,-1.31E+00
2.28E+00,-1.36E+00
2.29E+00,-7.39E-01
2.31E+00,-9.34E-01
2.32E+00,-8.03E-01
2.33E+00,-7.23E-01
2.34E+00,-9.16E-01
2.35E+00,-8.76E-01
2.36E+00,-9.63E-01
2.37E+00,-9.35E-01
2.38E+00,-1.05E+00
2.39E+00,-1.06E+00
2.41E+00,-1.03E+00
2.42E+00,-9.18E-01
2.43E+00,-8.18E-01
2.44E+00,-9.18E-01
2.45E+00,-7.36E-01
2.46E+00,-9.55E-01
2.47E+00,-6.42E-01
2.48E+00,-1.09E+00
2.49E+00,-8.53E-01
2.51E+00,-1.02E+00
2.52E+00,-1.04E+00
2.53E+00,-7.40E-01
2.54E+00,-8.86E-01
2.55E+00,-9.66E-01
2.56E+00,-7.78E-01
2.57E+00,-7.93E-01
2.58E+00,-8.49E-01
2.59E+00,-1.00E+00
2.61E+00,-6.98E-01
2.62E+00,-5.87E-01
2.63E+00,-4.33E-01
2.64E+00,-9.33E-01
2.65E+00,-6.16E-01
2.66E+00,-8.98E-01
2.67E+00,-6.95E-01
2.68E+00,-6.00E-01
2.69E+00,-8.85E-01
2.71E+00,-5.24E-01
2.72E+00,-5.36E-01
2.73E+00,-3.54E-01
2.74E+00,-8.91E-01
2.75E+00,-3.87E-01
2.76E+00,-3.86E-01
2.77E+00,-1.72E-01
2.78E+00,-4.53E-01
2.79E+00,-3.90E-01
2.81E+00,-5.74E-01
2.82E+00,-2.75E-01
2.83E+00,-6.43E-01
2.84E+00,-5.02E-01
2.85E+00,-2.95E-01
2.86E+00,-1.63E-01
2.87E+00,-1.27E-01
2.88E+00,-2.06E-01
2.89E+00,1.58E-01
2.91E+00,-3.45E-01
2.92E+00,1.01E-01
2.93E+00,-3.63E-02
2.94E+00,2.60E-01
2.95E+00,1.81E-02
2.96E+00,-7.43E-02
2.97E+00,2.49E-02
2.98E+00,3.77E-01
2.99E+00,-1.38E-02
3.01E+00,-3.45E-01
3.02E+00,-1.59E-01
3.03E+00,-2.10E-01
3.04E+00,-6.79E-02
3.05E+00,2.85E-02
3.06E+00,-1.38E-02
3.07E+00,-1.84E-01
3.08E+00,9.40E-02
3.09E+00,3.56E-01
3.11E+00,6.49E-03
3.12E+00,2.76E-01
3.13E+00,2.10E-01
3.14E+00,3.22E-01
